Índice,Cero Zeta (Im),Eigenvalor Modelo ∞³
1,14.134725141734695,37.2644950146185
2,21.022039638771556,37.79149095342497
3,25.01085758014569,38.177919718001306
4,30.424876125859512,38.554398593879924
5,32.93506158773919,38.88645580787706
6,37.586178158825675,39.14321650243809
7,40.9187190121475,39.426305036553
8,43.327073280915,39.65747898855607
9,48.00515088116716,39.87377429030893
10,49.7738324776723,40.08140866212571
11,52.970321477714464,40.2850851490927
12,56.44624769706339,40.4962018545764
13,59.34704400260235,40.68111326279415
14,60.83177852460981,40.880883305294574
15,65.1125440480816,41.075154332986564
16,67.07981052949417,41.24247241756093
17,69.54640171117398,41.44935570432919
18,72.0671576744819,41.66159478732031
19,75.70469069908393,41.85010152434301
20,77.1448400688748,42.03477698532437
21,79.33737502024937,42.226551350662966
22,82.91038085408603,42.43918383584991
23,84.73549298051705,42.64496958570318
24,87.42527461312523,42.84038709281776
25,88.80911120763446,43.043225131677126
26,92.49189927055849,43.25577437481254
27,94.65134404051989,43.51685969049801
28,95.87063422824531,43.78243080261263
29,98.83119421819369,44.04475758278099
30,101.31785100573138,44.311787342835785
31,103.72553804047834,44.57225714467159
32,105.44662305232609,44.78051003490447
33,107.1686111842764,45.06467328881044
34,111.02953554316967,45.38565433455644
35,111.87465917699264,45.70256162294829
36,114.32022091545271,46.0116712608161
37,116.22668032085755,46.266289642013405
38,118.79078286597621,46.57936459116
39,121.37012500242065,46.90726216115584
40,122.94682929355258,47.22472444933002
41,124.25681855434577,47.529599592564
42,127.5166838795965,47.82331701279114
43,129.57870419995606,48.19403801736711
44,131.08768853093267,48.607873594606176
45,133.4977372029976,48.91816515202217
46,134.75650975337388,49.202022220167265
47,138.11604205453344,49.5169321260484
48,139.7362089521214,49.773368920460456
49,141.12370740402113,50.145875535347
50,143.11184580762063,50.52578282193025
51,146.0009824867655,51.03362247297753
52,147.42276534255961,51.494713473012425
53,150.05352042078488,51.89603618407606
54,150.92525761224147,52.245919590436245
55,153.0246938111989,52.61120933175886
56,156.11290929423788,53.09997093290892
57,157.59759181759406,53.71106916971026
58,158.8499881714205,54.17195962132891
59,161.18896413759603,54.71341611745322
60,163.030709687182,55.072070376437786
61,165.5370691879004,55.5976531415
62,167.1844399781745,56.13116751012147
63,169.09451541556882,56.640963464825006
64,169.9119764794117,57.19064896609113
65,173.41153651959155,57.81132665118709
66,174.75419152336573,58.4390844689033
67,176.44143429771043,59.0193386186356
68,178.37740777609997,59.739324130222556
69,179.916484020257,60.52523159824396
70,182.20707848436646,61.486750549132424
71,184.8744678483875,62.420512780995075
72,185.59878367770747,63.271295969804
73,187.22892258350186,64.01605615548539
74,189.41615865601693,64.739487789602
75,192.0266563607138,65.46425321305256
76,193.0797266038457,66.28274818557784
77,195.26539667952923,67.34372647977568
78,196.87648184095832,68.58279660588872
79,198.01530967625192,69.41276214883942
80,201.2647519437038,69.81446865755757
81,202.49359451414054,70.7577394134538
82,204.18967180310455,71.96236491741479
83,205.3946972021633,73.02832557473454
84,207.90625888780622,74.22345453239754
85,209.57650971685626,75.66403908726066
86,211.6908625953653,77.32936075962509
87,213.34791935971268,79.45507837082224
88,214.54704478349143,81.0277921946868
89,216.1695385082637,82.49056605601136
90,219.0675963490214,84.28106099554734
91,220.714918839314,87.0967414216571
92,221.43070555469333,88.95105815191494
93,224.00700025460432,89.85151782870827
94,224.9833246695823,92.58332463994762
95,227.4214442796793,95.53403948555305
96,229.33741330552536,97.57725132641443
97,231.25018870049917,100.57608979867788
98,231.98723525318024,101.68512069458995
99,233.6934041789083,102.64413801908695
